2018-09-27 20:54:51,407 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Creating instance of bean 'steps.EbaySteps'
2018-09-27 20:54:51,443 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Finished creating instance of bean 'steps.EbaySteps'
2018-09-27 20:54:51,465 [INFO ] Lib.WebDriverManager  - Type : firefox
2018-09-27 20:55:15,625 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
2018-09-27 20:55:15,636 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2018-09-27 20:55:15,638 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:15,657 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2018-09-27 20:55:15,659 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
2018-09-27 20:55:15,671 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
2018-09-27 20:55:15,674 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:52237<->127.0.0.1:7055
2018-09-27 20:55:15,674 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session HTTP/1.1
2018-09-27 20:55:15,674 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2018-09-27 20:55:15,674 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2018-09-27 20:55:15,676 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> POST /hub/session HTTP/1.1
2018-09-27 20:55:15,676 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2018-09-27 20:55:15,676 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Length: 105
2018-09-27 20:55:15,676 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Host: 127.0.0.1:7055
2018-09-27 20:55:15,676 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
2018-09-27 20:55:15,676 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2018-09-27 20:55:15,676 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "POST /hub/session HTTP/1.1[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Content-Length: 105[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Host: 127.0.0.1:7055[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.3.6 (java 1.5)[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "[\r][\n]"
2018-09-27 20:55:15,677 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "{"desiredCapabilities":{"browserName":"firefox","version":"","platform":"ANY"},"requiredCapabilities":{}}"
2018-09-27 20:55:15,874 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2018-09-27 20:55:15,874 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "content-type: application/json; charset=UTF-8[\r][\n]"
2018-09-27 20:55:15,874 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "connection: close[\r][\n]"
2018-09-27 20:55:15,874 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "content-length: 423[\r][\n]"
2018-09-27 20:55:15,875 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "server: httpd.js[\r][\n]"
2018-09-27 20:55:15,875 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "date: Fri, 28 Sep 2018 01:55:15 GMT[\r][\n]"
2018-09-27 20:55:15,875 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "[\r][\n]"
2018-09-27 20:55:15,881 [DEBUG] org.apache.http.headers  - http-outgoing-0 << HTTP/1.1 200 OK
2018-09-27 20:55:15,881 [DEBUG] org.apache.http.headers  - http-outgoing-0 << content-type: application/json; charset=UTF-8
2018-09-27 20:55:15,882 [DEBUG] org.apache.http.headers  - http-outgoing-0 << connection: close
2018-09-27 20:55:15,882 [DEBUG] org.apache.http.headers  - http-outgoing-0 << content-length: 423
2018-09-27 20:55:15,882 [DEBUG] org.apache.http.headers  - http-outgoing-0 << server: httpd.js
2018-09-27 20:55:15,882 [DEBUG] org.apache.http.headers  - http-outgoing-0 << date: Fri, 28 Sep 2018 01:55:15 GMT
2018-09-27 20:55:15,907 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "{"name":"newSession","sessionId":"ed084045-96ff-4b6f-96df-d71fb6b6e094","status":0,"value":{"cssSelectorsEnabled":true,"browserName":"firefox","handlesAlerts":true,"javascriptEnabled":true,"nativeEvents":false,"platform":"WINDOWS","rotatable":false,"takesScreenshot":true,"version":"40.0.2","webStorageEnabled":true,"applicationCacheEnabled":true,"databaseEnabled":true,"locationContextEnabled":true,"acceptSslCerts":true}}"
2018-09-27 20:55:15,908 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: Shutdown connection
2018-09-27 20:55:15,909 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Connection discarded
2018-09-27 20:55:15,909 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: Close connection
2018-09-27 20:55:15,909 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:15,928 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
2018-09-27 20:55:15,929 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2018-09-27 20:55:15,929 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
